rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
380,0,0,0,21.2,17.8,25.1,0.5,1,0.6
290,0,0,0,22.1,19,27.4,0,0,1
270,0,1,0,22,19,25.9,0,0,1.2
450,1,1,0,23.4,16.1,29.4,0,0,1.2
0,1,0,1,23.7,17.2,29.6,0,0,1.2
280,0,0,1,24,18.7,31,0,0,1.3
220,0,0,0,24.5,16.8,31.8,0,0,1
365,0,0,0,24.2,19.7,28,0,0,1
500,0,0,0,24.8,21.5,31.1,0,0,0.7
115,0,1,0,23.5,20.7,28,0,0,0.7
430,1,1,0,22.3,19.1,26.9,2,1,0.9
310,1,0,1,23.4,19.8,28.6,0,0,0.8
280,0,0,1,22.9,19,28.6,0,0,1
265,0,0,0,23.5,18.2,30.8,0,0,1.1
280,0,0,0,22.9,18.4,27.2,0,0,0.9
130,0,0,0,24.5,17.8,32.7,0,0,1.2
385,0,1,0,26.8,18.9,34.7,0,0,1.2
340,1,1,0,28.8,22.2,34.8,0,0,1.7
425,1,0,1,26,22.8,30.8,0,0,2
140,0,0,1,24.2,20.2,30.1,0,0,1.9
0,0,0,0,24.5,18.1,29.5,0,0,1.7
0,0,0,0,22,19,26.3,12.5,1,1.7
225,0,0,0,21.2,19.1,24.8,6,1,1.5
145,0,1,0,23,19.2,28.6,0,0,0.9
200,1,1,0,23.8,20.3,28.9,0,0,1.1
0,1,0,1,24.5,19.3,30.3,0,0,0.8
0,0,0,1,23.2,20.1,26.9,3,1,0.7
0,0,0,0,23.8,21.4,27.7,2,1,0.7
195,0,0,0,25.1,21.1,29,0,0,0.8
240,0,0,0,26.1,22.2,32.1,15,1,0.7
65,0,1,0,27.2,21.7,33.6,0,0,1.2
345,1,1,0,27.4,24.7,30.4,0.5,1,1.8
140,1,0,1,25,23.7,28.3,16,1,0.9
185,0,0,1,26.4,22.9,30.9,0,0,0.7
85,0,0,0,27.2,22.8,32.2,0,0,0.7
145,0,0,0,25.4,24.6,27,2,1,0.6
0,0,0,0,25.7,24.9,27.3,11.5,1,0.7
245,0,1,0,25.2,23.8,27.2,105.5,1,1.1
65,1,1,0,27.7,24.7,32.8,10,1,0.7
0,1,0,1,25.6,24.7,27,17.5,1,1.5
445,0,0,1,27.6,24.8,31.3,0,0,1.3
0,0,0,0,28.1,25.8,32,0.5,1,1.6
115,0,0,0,25.5,23.5,27.2,58.5,1,1.1
125,0,0,0,26.5,23.1,30.8,62,1,0.8
335,0,1,0,27.9,23.4,33.7,0,0,0.8
370,1,1,0,28.1,23,34.8,8.5,1,1.1
410,1,0,1,27.7,23.3,33.8,0,0,0.9
130,0,0,1,29.6,24.7,35.1,0,0,0.9
230,0,0,0,30.4,26.3,35.4,0,0,1.3
0,0,0,0,25.5,23,29.9,10,1,0.8
230,0,0,0,27.7,23.8,33.2,0,0,0.9
295,0,1,0,28.4,24.1,33.5,0,0,0.9
530,1,1,0,29.8,24.7,34.9,0,0,1.3
0,1,0,1,28.9,24.2,33.6,6,1,2.6
0,0,0,1,25.9,23.9,28.1,47,1,0.1
460,0,0,0,27.9,24.4,33,4,1,0.1
230,0,1,0,29.4,25.1,34.1,0,0,0.2
135,1,0,0,29.4,25.1,34.1,0.5,1,0.2
235,0,1,1,24.8,20.7,28.5,0,0,1.1
315,1,1,0,24.8,20.7,28.5,0,0,1.1
485,1,0,1,24.4,20.2,29.6,0,0,0.7
260,0,0,1,24.7,19.8,30.9,0,0,0.6
235,0,0,0,26,21.1,31.1,0,0,0.9
395,0,0,0,25.7,22.9,30.9,0,0,0.8
430,0,0,0,26.1,22.5,31.3,0,0,0.5
410,0,1,0,25.3,21.5,29.9,0,0,0.9
485,1,1,0,22.4,19.8,26.4,0,0,0.9
0,1,0,1,23.7,18.9,28.3,0,0,1
490,0,0,1,24.5,20.2,29.7,0,0,0.7
350,0,0,0,24.1,21,27.6,3.5,1,0.7
210,0,0,0,24.7,21.9,29.4,0,0,1
150,0,0,0,21.9,18.6,25.5,54,1,1.6
215,0,1,0,22.2,18,27.3,0,0,1.2
305,1,1,0,22.1,16.9,28,0,0,0.9
460,1,0,1,22.2,17.9,26.5,0,0,0.5
230,0,0,1,23.2,18.7,28.7,0,0,0.6
0,0,0,0,22.9,20.5,26.5,2.5,1,0.6
140,0,0,0,22.3,20.6,25,13,1,0.1
0,0,0,0,22.7,21.2,27.9,43.5,1,0.3
125,0,1,0,24.6,21.2,28.2,4,1,0.2
0,1,1,0,25.3,22.4,30,4,1,3.3
0,1,0,1,24.3,22.5,27,0,0,1
310,0,0,1,23.7,21.8,27.1,0.5,1,0.6
160,0,0,0,23.5,22.1,26.8,72,1,0.8
350,0,1,0,23.6,20.4,27,8.5,1,1.4
405,1,1,0,20.1,17.1,22.6,9,1,1.2
260,1,1,1,21.3,17,26.4,0,0,1.1
540,1,1,1,21.8,19.9,24.2,0,0,1
260,1,0,1,23.2,19.1,27.8,0,0,1
540,0,0,1,22.5,18.5,28.1,0,0,1.3
495,0,0,0,21.5,15.6,26.9,0,0,1.1
335,0,0,0,20.6,14.8,25.1,0,0,1.9
355,0,0,0,18.5,12.6,24.4,0,0,1.1
220,0,1,0,19.1,14.8,23,0,0,0.8
380,1,1,0,18.6,16.8,21.3,0,0,0.7
295,1,0,1,17.8,15.3,19.6,2,1,2
295,0,0,1,18.6,14.7,22.9,0,0,1.6
90,0,0,0,18.1,13,24.4,0,0,0.9
435,0,0,0,19.5,13.9,24.8,0,0,0.1
360,0,0,0,21.1,16.4,26.4,0,0,0.4
220,0,1,0,21.2,17.6,25.7,0,0,0.3
490,1,1,0,21.9,17.9,27.1,0,0,0
385,1,0,1,20.6,16.6,26.5,0,0,1
225,0,0,1,20.7,15.4,26.9,0,0,0.8
135,0,0,0,21.7,16.5,26.7,0,0,0.9
535,0,1,0,21.4,20.1,23.9,23,1,1.4
535,1,0,0,21.4,18.6,26.4,10.5,1,1.6
320,0,1,1,21,16.9,25.9,0,0,0.8
75,1,1,0,18.5,13.9,21.4,0,0,1.4
225,1,0,1,16.9,12,20.6,0,0,1
260,0,0,1,14.5,12.8,17.6,26,1,0.9
260,0,1,0,14.4,9.4,19.2,0,0,1.5
385,1,0,0,12.3,7.1,18.5,0,0,0.7
375,0,0,1,14.2,9.7,18.7,0,0,0.3
260,0,1,0,17.6,12.1,23.1,0,0,1.1
290,1,1,0,17.1,13.5,21.5,0,0,2.6
270,1,0,1,15.7,11.2,20.6,0,0,0.9
240,0,0,1,13.9,8.7,18.3,0,0,1.3
