rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
27000,0,0,0,15,8.4,22.2,0,0,1.1
94500,0,0,0,15.6,9.1,21.9,0,0,1.5
45000,0,0,0,16.6,10,24.5,0,0,1.5
35500,0,1,0,16.6,8.5,26.4,0,0,1.1
48000,1,1,0,17.9,9.7,27,0,0,1
20500,1,1,1,18.7,11.7,27.1,0,0,1.2
36500,1,0,1,14.1,10.5,19.2,0,0,2.6
12500,0,0,1,14.6,6.6,22,0,0,1.5
31500,0,0,0,15.3,9,22,0,0,1.5
34000,0,0,0,15.6,10.2,22.5,0,0,1.2
26000,0,1,0,16.9,8.1,26.2,0,0,1.1
57000,1,1,0,18.6,10.6,27.5,0,0,1
000,1,0,1,19.9,12.7,27.4,0,0,0.9
56500,0,0,1,17.7,14.1,22.6,0,0,1
32500,0,0,0,19,12,26.7,0,0,1.1
36500,0,0,0,19.7,13.3,27.7,0,0,1
36500,0,0,0,22.3,15.3,29.8,0,0,1.1
50500,0,1,0,22.2,16.2,27,0,0,0.6
36000,1,1,0,21.6,16.9,24.3,0,0,1.9
5200,1,0,1,18.7,17,21.2,20.5,1,1.1
32500,0,0,1,15.7,10.4,19.8,4.5,1,1.7
36000,0,0,0,16.7,9.9,23.8,0,0,1.3
44000,0,0,0,19.2,10.8,27,0,0,1.3
22500,0,0,0,20.4,12.9,28.7,0,0,0.7
24000,0,1,0,23.3,15,32.3,0,0,0.9
33500,1,1,0,22.2,16.7,28.6,0,0,0.9
000,1,0,1,23.2,17,31,0,0,0.9
7500,0,0,1,17.4,15,20.5,6,1,1.4
18000,0,0,0,17.7,10.6,25.1,0,0,1.3
29500,0,0,0,19.2,11.3,26.8,0,0,1.4
20500,0,0,0,19.2,12.6,25.9,0,0,1.7
30500,0,1,0,18.9,15,24.6,0,0,1.7
38000,1,0,0,17.6,12,23.3,0,0,1.2
40000,0,1,1,20.5,13.1,27.7,0,0,1.1
32000,1,0,0,22.2,15,28.4,0,0,1.4
17500,0,0,1,21.8,16,29.4,0,0,1.3
15000,0,1,0,22.4,16.9,30.5,0,0,1.1
37000,1,0,0,20.5,17,24.7,8,1,0.5
28500,0,1,1,19,17,23.1,52.5,1,1.6
45000,1,1,0,20.9,14.5,27.5,0,0,1
000,1,0,1,21.2,17,25.5,1,1,1.3
25000,0,0,1,18.5,15.6,21.7,4.5,1,1.5
6500,0,0,0,19.5,15,25.3,0,0,0.9
25500,0,0,0,20.3,14.4,26.6,0,0,1.2
38500,0,0,0,22.3,15,29,0,0,1.3
34000,0,1,0,22.3,17.8,28,0,0,1.2
47000,1,1,0,21.1,16.4,27.1,0,0,1.8
31500,1,0,1,21.2,15.2,27.6,0,0,1.1
32500,0,0,1,20.7,16.8,26.7,0,0,1.1
000,0,0,0,19.7,16.1,25.1,13.5,1,0.8
38000,0,0,0,21.2,17.8,25.1,0.5,1,0.6
29000,0,0,0,22.1,19,27.4,0,0,1
27000,0,1,0,22,19,25.9,0,0,1.2
